Tube;TubeVide;MasseSeche
155;N         :    +   1.3191 g;N         :    +   1.3380 g
;Date 15.07.2022  Heure 13:38:57;Date 08.08.2022  Heure 13:57:57
156;N         :    +   1.3243 g;N         :    +   1.3346 g
;Date 15.07.2022  Heure 13:39:07;Date 08.08.2022  Heure 13:58:09
157;N         :    +   1.3188 g;N         :    +   1.3324 g
;Date 15.07.2022  Heure 13:39:15;
158;N         :    +   1.3265 g;
;Date 15.07.2022  Heure 13:39:23;Date 08.08.2022  Heure 13:58:23
159;N         :    +   1.3274 g;N         :    +   1.3420 g
;Date 15.07.2022  Heure 13:39:36;
160;N         :    +   1.3217 g;
;Date 15.07.2022  Heure 13:39:52;Date 08.08.2022  Heure 13:58:51
161;N         :    +   1.3235 g;N         :    +   1.3394 g
;Date 15.07.2022  Heure 13:40:04;
162;N         :    +   1.3177 g;
;Date 15.07.2022  Heure 13:40:15;Date 08.08.2022  Heure 13:59:16
163;N         :    +   1.3205 g;N         :    +   1.3252 g
;Date 15.07.2022  Heure 13:40:24;Date 08.08.2022  Heure 13:59:30
164;N         :    +   1.3242 g;N         :    +   1.3302 g
;Date 15.07.2022  Heure 13:40:32;Date 08.08.2022  Heure 13:59:42
165;N         :    +   1.3179 g;N         :    +   1.3220 g
;Date 15.07.2022  Heure 13:40:47;Date 08.08.2022  Heure 13:59:55
166;N         :    +   1.3169 g;N         :    +   1.3238 g
;Date 15.07.2022  Heure 13:41:00;Date 08.08.2022  Heure 14:00:07
167;N         :    +   1.3275 g;N         :    +   1.3415 g
;Date 15.07.2022  Heure 13:41:09;Date 08.08.2022  Heure 14:00:19
168;N         :    +   1.3206 g;N         :    +   1.3320 g
;Date 15.07.2022  Heure 13:41:21;Date 08.08.2022  Heure 14:00:31
169;N         :    +   1.3178 g;N         :    +   1.3260 g
;Date 15.07.2022  Heure 13:41:32;Date 08.08.2022  Heure 14:00:43
170;N         :    +   1.3178 g;N         :    +   1.3306 g
;Date 15.07.2022  Heure 13:41:42;
171;N         :    +   1.3225 g;
;Date 15.07.2022  Heure 13:41:51;Date 08.08.2022  Heure 14:01:37
172;N         :    +   1.3215 g;N         :    +   1.3314 g
;Date 15.07.2022  Heure 13:42:00;Date 08.08.2022  Heure 14:01:47
173;N         :    +   1.3164 g;N         :    +   1.3343 g
;Date 15.07.2022  Heure 13:42:10;
174;N         :    +   1.3240 g;
;Date 15.07.2022  Heure 13:42:18;Date 08.08.2022  Heure 14:02:07
175;N         :    +   1.3191 g;N         :    +   1.3356 g
;Date 15.07.2022  Heure 13:42:26;
176;N         :    +   1.3178 g;
;Date 15.07.2022  Heure 13:42:33;
177;N         :    +   1.3117 g;
;Date 15.07.2022  Heure 13:42:42;
178;N         :    +   1.3212 g;
;Date 15.07.2022  Heure 13:42:50;Date 08.08.2022  Heure 14:02:35
179;N         :    +   1.3289 g;N         :    +   1.3463 g
;Date 15.07.2022  Heure 13:42:57;
180;N         :    +   1.3160 g;
