CO2;Nitrate;Iron;K;Fe;Mn;Mg;Zn;Cu;Na
ACO2;10 mM;+Fe;65194.2060067119;127.548909395974;59.1123221476514;5028.4178322148;35.1859060402687;7.21311073825508;654.8097114094
ACO2;10 mM;+Fe;76090.7945864708;59.4213383458682;53.9120751879732;4856.4154736845;35.0231729323329;7.08333834586509;626.481924812068
ACO2;10 mM;+Fe;#VALUE!;73.4295197132622;58.0299784946241;4786.44032974914;34.9306666666669;6.94857347670256;890.544200716852
ACO2;10 mM;+Fe;69172.5451546388;169.417567010308;53.6848659793812;4820.3074639175;38.3077938144328;6.74432989690718;666.33979381443
ACO2;10 mM;+Fe;69317.7712765957;64.7934042553191;51.7602482269504;5245.65911347518;42.078475177305;6.70276595744681;564.894219858156
ACO2;10 mM;+Fe;#VALUE!;83.4955204460954;51.1872304832706;4657.06483271369;34.643828996282;6.81198884758354;667.185650557611
ACO2;10 mM;+Fe;75518.5899999989;58.6080999999992;51.5153999999993;5373.28019999992;39.9430999999994;6.71939999999991;638.716299999991
ACO2;10 mM;+Fe;74586.8916470575;62.8151999999989;55.7330941176461;4936.84363529403;37.258035294117;6.46627058823518;822.140117647044
ACO2;10 mM;+Fe;72380.8258536585;61.0175121951219;48.5584390243902;4590.36980487805;41.530243902439;6.38926829268293;739.557804878049
ACO2;10 mM;+Fe;77815.3943925241;90.98355140187;46.959252336449;4294.81495327107;36.1977570093461;5.86990654205613;758.19626168225
ACO2;10 mM;+Fe;69484.6172799989;62.560927999999;47.4455359999992;4905.36457599992;38.2083519999994;6.71795199999989;496.288703999992
ACO2;10 mM;+Fe;76390.6910759513;62.3624556962041;51.4158544303811;4877.54015189886;36.4886708860769;6.63430379746852;779.530696202552
ACO2;10 mM;+Fe;#VALUE!;78.0960866666661;53.5816199999996;4717.4589033333;40.2737666666664;6.65392666666662;763.975843333328
ECO2;0.5 mM;-Fe;51329.5956643342;29.6014265734257;207.20998601398;15214.4112727268;104.326979020976;32.1283776223767;737.869706293686
ECO2;0.5 mM;-Fe;40267.416875001;60.9921442307707;170.62678365385;#VALUE!;82.6670384615405;25.4553990384621;575.140798076937
ECO2;0.5 mM;-Fe;47650.6039999992;34.7926999999993;185.663699999997;14115.0596999998;101.914899999998;30.4820999999995;712.788499999987
ECO2;0.5 mM;-Fe;47162.4017647049;184.707441176467;212.77252941176;#VALUE!;99.2068235294097;30.6757941176464;844.780911764688
ECO2;0.5 mM;-Fe;49706.0438839281;47.8146562499996;195.498348214284;#VALUE!;100.575656249999;30.1491428571426;812.37807589285
ECO2;0.5 mM;-Fe;48438.1322674421;40.2761162790701;184.903988372094;14347.4510581396;103.741511627908;30.2070872093025;809.794034883726
ECO2;0.5 mM;-Fe;45185.1889756093;37.788370731707;223.666302439022;#VALUE!;104.683999999999;32.4265073170729;1042.7547707317
ECO2;0.5 mM;-Fe;54361.1627368418;42.7367631578945;156.609557894736;#VALUE!;94.2965999999995;27.0206631578946;932.488599999995
ECO2;0.5 mM;-Fe;48454.0090909126;54.5695636363674;137.835190909101;13721.4226909101;89.8516090909156;24.9326454545473;854.766354545517
ECO2;0.5 mM;-Fe;42799.5519148936;34.0696595744681;142.872765957447;12525.9118297872;81.693914893617;24.9111489361702;738.908638297872
ECO2;0.5 mM;-Fe;51617.44507042;178.29605633802;160.613802816894;13978.9265492951;100.199436619713;26.8917605633789;827.382112676015
ECO2;0.5 mM;-Fe;44422.1199999993;39.3618679245277;188.976132075469;#VALUE!;87.3402641509421;26.8287358490562;762.56275471697
ECO2;0.5 mM;-Fe;40702.2457516332;31.5969019607837;189.411535947709;#VALUE!;85.9571633986911;27.0102549019603;795.528450980377
ECO2;0.5 mM;-Fe;46474.1200000002;40.6424615384619;163.104615384616;12914.9443076924;86.9000000000005;25.6689230769232;865.25661538462
ECO2;0.5 mM;-Fe;49533.494166667;32.4523333333335;161.013500000001;13688.3317916668;97.6690416666673;31.5162083333335;668.393250000004
ECO2;0.5 mM;+Fe;34573.688769231;63.6399692307697;162.859246153847;#VALUE!;36.9219230769234;5.37046153846158;791.471769230775
ECO2;0.5 mM;+Fe;37003.3523510979;82.2404858934185;142.907037617558;#VALUE!;35.3617868338565;5.19072100313489;876.420799373057
ECO2;0.5 mM;+Fe;34783.9150662254;73.5517384105965;136.373576158941;#VALUE!;42.400413907285;5.71107615894044;686.367516556296
